Year;variable2;cod;variable;bd;area;Distribución de la producción bibliografica de autores vinculados a la institución por área OCDE;Distribución de la producción bibliografica de autores vinculados a la institución por área OCDE. (SCIELO);Distribución de la producción bibliografica de autores vinculados a la institución por área OCDE. (SCOPUS);Distribución de la producción bibliografica de autores vinculados a la institución por área OCDE. (WOS core collection);Producción bibliográfica de autores vinculados a la institución por tipo de coautoría;Producción bibliográfica de autores vinculados a la institución por tipo de coautoría (WOS core collection);Producción bibliográfica de autores vinculados a la institución por tipo de coautoría . (SCIELO);Producción bibliográfica de autores vinculados a la institución por tipo de coautoría . (SCOPUS);Producción bibliográfica de autores vinculados a la institución por tipo de producto;Producción bibliográfica de autores vinculados a la institución por tipo de producto. (SCIELO);Producción bibliográfica de autores vinculados a la institución por tipo de producto. (SCOPUS);Producción bibliográfica de autores vinculados a la institución por tipo de producto. (WOS core collection);Promedio de citas de documentos publicados por autores vinculados a la institución;Promedio de citas de documentos publicados por autores vinculados a la institución. (SCIELO);Promedio de citas de documentos publicados por autores vinculados a la institución. (SCOPUS);Promedio de citas de documentos publicados por autores vinculados a la institución. (WOS core collection);Departamento
2009;Agricultural Sciences;63;wos;WOS;Producción bibliográfica;NA;NA;NA;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Quindío
2009;Agricultural Sciences;66;scielo;SCIELO;Producción bibliográfica;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Risaralda
2009;Agricultural Sciences;66;scopus;SCOPUS;Producción bibliográfica;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Risaralda
2009;Agricultural Sciences;66;TOTAL;TOTAL;Producción bibliográfica;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Risaralda
2009;Agricultural Sciences;66;wos;WOS;Producción bibliográfica;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Risaralda
2009;Agricultural Sciences;68;scielo;SCIELO;Producción bibliográfica;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Santander
2009;Agricultural Sciences;68;scopus;SCOPUS;Producción bibliográfica;NA;NA;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Santander
2009;Agricultural Sciences;68;TOTAL;TOTAL;Producción bibliográfica;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Santander
2009;Agricultural Sciences;68;wos;WOS;Producción bibliográfica;NA;NA;NA;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Santander
2009;Agricultural Sciences;70;scielo;SCIELO;Producción bibliográfica;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sucre
2009;Agricultural Sciences;70;scopus;SCOPUS;Producción bibliográfica;NA;NA;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sucre
2009;Agricultural Sciences;70;TOTAL;TOTAL;Producción bibliográfica;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sucre
2009;Agricultural Sciences;70;wos;WOS;Producción bibliográfica;NA;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sucre
2009;Agricultural Sciences;73;scielo;SCIELO;Producción bibliográfica;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Tolima
2009;Agricultural Sciences;73;scopus;SCOPUS;Producción bibliográfica;NA;NA;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Tolima
2009;Agricultural Sciences;73;TOTAL;TOTAL;Producción bibliográfica;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Tolima
2009;Agricultural Sciences;73;wos;WOS;Producción bibliográfica;NA;NA;NA;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Tolima
2009;Agricultural Sciences;76;scielo;SCIELO;Producción bibliográfica;NA;26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Valle del Cauca
2009;Agricultural Sciences;76;scopus;SCOPUS;Producción bibliográfica;NA;NA;119;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Valle del Cauca
2009;Agricultural Sciences;76;TOTAL;TOTAL;Producción bibliográfica;146;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Valle del Cauca
2009;Agricultural Sciences;76;wos;WOS;Producción bibliográfica;NA;NA;NA;94;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Valle del Cauca
2009;Agricultural Sciences;8;scielo;SCIELO;Producción bibliográfica;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Atlántico
2009;Agricultural Sciences;8;scopus;SCOPUS;Producción bibliográfica;NA;NA;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Atlántico
2009;Agricultural Sciences;8;TOTAL;TOTAL;Producción bibliográfica;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Atlántico
2009;Agricultural Sciences;8;wos;WOS;Producción bibliográfica;NA;NA;NA;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Atlántico
2009;Agricultural Sciences;85;scielo;SCIELO;Producción bibliográfica;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Casanare
2009;Agricultural Sciences;85;scopus;SCOPUS;Producción bibliográfica;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Casanare
2009;Agricultural Sciences;85;TOTAL;TOTAL;Producción bibliográfica;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Casanare
2009;Agricultural Sciences;91;scopus;SCOPUS;Producción bibliográfica;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amazonas
2009;Agricultural Sciences;91;TOTAL;TOTAL;Producción bibliográfica;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amazonas
2009;Agricultural Sciences;91;wos;WOS;Producción bibliográfica;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amazonas
2009;Agricultural Sciences;9999;scielo;SCIELO;Producción bibliográfica;NA;278;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2009;Agricultural Sciences;9999;scopus;SCOPUS;Producción bibliográfica;NA;NA;776;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2009;Agricultural Sciences;9999;TOTAL;TOTAL;Producción bibliográfica;1074;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2009;Agricultural Sciences;9999;wos;WOS;Producción bibliográfica;NA;NA;NA;544;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2009;Agricultural Sciences;NA;scopus;SCOPUS;Producción bibliográfica;NA;NA;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2009;Agricultural Sciences;NA;TOTAL;TOTAL;Producción bibliográfica;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2009;Agricultural Sciences;NA;wos;WOS;Producción bibliográfica;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2009;Articulo;0;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;541;NA;NA;NA;NA;NA;NA;Nacional
2009;Articulo;0;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1701;NA;NA;NA;NA;NA;Nacional
2009;Articulo;0;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;2365;NA;NA;NA;NA;NA;NA;NA;Nacional
2009;Articulo;0;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1286;NA;NA;NA;NA;Nacional
2009;Articulo;11;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;1498;NA;NA;NA;NA;NA;NA;Bogotá
2009;Articulo;11;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1770;NA;NA;NA;NA;NA;Bogotá
2009;Articulo;11;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;3381;NA;NA;NA;NA;NA;NA;NA;Bogotá
2009;Articulo;11;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1233;NA;NA;NA;NA;Bogotá
2009;Articulo;13;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;NA;NA;NA;NA;NA;NA;Bolívar
2009;Articulo;13;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;47;NA;NA;NA;NA;NA;Bolívar
2009;Articulo;13;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;65;NA;NA;NA;NA;NA;NA;NA;Bolívar
2009;Articulo;13;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23;NA;NA;NA;NA;Bolívar
2009;Articulo;15;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;70;NA;NA;NA;NA;NA;NA;Boyacá
2009;Articulo;15;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;34;NA;NA;NA;NA;NA;Boyacá
2009;Articulo;15;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;105;NA;NA;NA;NA;NA;NA;NA;Boyacá
2009;Articulo;15;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21;NA;NA;NA;NA;Boyacá
2009;Articulo;17;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;106;NA;NA;NA;NA;NA;NA;Caldas
2009;Articulo;17;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;66;NA;NA;NA;NA;NA;Caldas
2009;Articulo;17;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;175;NA;NA;NA;NA;NA;NA;NA;Caldas
2009;Articulo;17;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;NA;NA;NA;NA;Caldas
2009;Articulo;18;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;Caquetá
2009;Articulo;18;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;Caquetá
2009;Articulo;18;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;11;NA;NA;NA;NA;NA;NA;NA;Caquetá
2009;Articulo;18;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;Caquetá
2009;Articulo;19;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;38;NA;NA;NA;NA;NA;NA;Cauca
2009;Articulo;19;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;34;NA;NA;NA;NA;NA;Cauca
2009;Articulo;19;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;75;NA;NA;NA;NA;NA;NA;NA;Cauca
2009;Articulo;19;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22;NA;NA;NA;NA;Cauca
2009;Articulo;20;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;Cesar
2009;Articulo;20;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;Cesar
2009;Articulo;20;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;Cesar
2009;Articulo;23;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;Córdoba
2009;Articulo;23;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;NA;NA;NA;NA;NA;Córdoba
2009;Articulo;23;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;74;NA;NA;NA;NA;NA;NA;NA;Córdoba
2009;Articulo;23;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;37;NA;NA;NA;NA;Córdoba
2009;Articulo;25;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;69;NA;NA;NA;NA;NA;NA;Cundinamarca
2009;Articulo;25;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;64;NA;NA;NA;NA;NA;Cundinamarca
2009;Articulo;25;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;132;NA;NA;NA;NA;NA;NA;NA;Cundinamarca
2009;Articulo;25;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;NA;NA;NA;NA;Cundinamarca
2009;Articulo;27;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;Chocó
2009;Articulo;27;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;Chocó
2009;Articulo;27;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;Chocó
2009;Articulo;27;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;Chocó
